Start time: 2017-07-31 18:21:55.829895 UTC
End time  : 2017-08-07 18:21:55.829895 UTC

AOS: 2017-07-31 21:17:09.000000 UTC, LOS: 2017-08-01 01:13:17.000000 UTC, Max El: 19.8, Duration: 03:56:08
AOS: 2017-08-01 07:40:24.000000 UTC, LOS: 2017-08-01 16:12:34.000000 UTC, Max El: 87.7, Duration: 08:32:10
AOS: 2017-08-02 01:21:58.000000 UTC, LOS: 2017-08-02 03:20:09.000000 UTC, Max El:  5.1, Duration: 01:58:11
AOS: 2017-08-02 13:16:49.000000 UTC, LOS: 2017-08-02 21:20:15.000000 UTC, Max El: 78.3, Duration: 08:03:26
AOS: 2017-08-03 03:12:02.000000 UTC, LOS: 2017-08-03 07:53:48.000000 UTC, Max El: 28.0, Duration: 04:41:46
AOS: 2017-08-03 19:20:49.000000 UTC, LOS: 2017-08-04 00:22:48.000000 UTC, Max El: 32.0, Duration: 05:01:59
AOS: 2017-08-04 06:02:11.000000 UTC, LOS: 2017-08-04 13:49:41.000000 UTC, Max El: 73.6, Duration: 07:47:30
AOS: 2017-08-05 00:04:22.000000 UTC, LOS: 2017-08-05 02:10:25.000000 UTC, Max El:  5.8, Duration: 02:06:03
AOS: 2017-08-05 10:57:01.000000 UTC, LOS: 2017-08-05 19:37:58.000000 UTC, Max El: 89.0, Duration: 08:40:57
AOS: 2017-08-06 02:23:27.000000 UTC, LOS: 2017-08-06 05:59:39.000000 UTC, Max El: 16.7, Duration: 03:36:12
AOS: 2017-08-06 17:16:17.000000 UTC, LOS: 2017-08-06 23:22:29.000000 UTC, Max El: 46.6, Duration: 06:06:12
AOS: 2017-08-07 04:37:58.000000 UTC, LOS: 2017-08-07 11:27:02.000000 UTC, Max El: 57.5, Duration: 06:49:04
